English,Hindi
sir,महोदय
agency,एजेंसी
usually,आमतौर पर
significant,महत्वपूर्ण
help,मदद करना
ability,योग्यता
mile,मील
statement,बयान
entire,संपूर्ण
democrat,प्रजातंत्रवादी
floor,मंज़िल
serious,गंभीर
career,करियर
dollar,डॉलर
vote,वोट
sex,लिंग
compare,तुलना करना
south,दक्षिण
forward,आगे
subject,विषय
financial,वित्तीय
identify,पहचानना
beautiful,सुंदर
decade,दशक
bit,काटा
reduce,कम करना
sister,बहन
quality,गुणवत्ता
quickly,तुरंत
act,कार्यवाही करना
press,दबाएँ
worry,चिंता
accept,मानना
enter,प्रवेश करना
mention,उल्लेख
sound,ध्वनि
thus,इस प्रकार
plant,पौधा
movement,गति
scene,दृश्य
section,खंड
treatment,इलाज
wish,तमन्ना
benefit,फायदा
interesting,दिलचस्प
west,पश्चिम
candidate,उम्मीदवार
approach,दृष्टिकोण
determine,ठानना
resource,संसाधन
claim,दावा
answer,उत्तर
prove,सिद्ध करना
sort,क्रम से लगाना
enough,पर्याप्त
size,आकार
somebody,कोई
knowledge,ज्ञान
rather,बल्कि
hang,टांगना
sport,खेल
tv,टीवी
loss,हानि
argue,बहस करना
left,बाएं
note,टिप्पणी
meeting,बैठक
skill,कौशल
card,कार्ड
feeling,भावना
despite,इसके बावजूद
degree,डिग्री
crime,अपराध
that,वह
sign,संकेत
occur,घटित होना
imagine,कल्पना करना
vote,वोट
near,पास
king,राजा
box,डिब्बा
present,वर्तमान
figure,आकृति
seven,सात
foreign,विदेशी
laugh,हंसना
disease,बीमारी
lady,महिला
beyond,आगे
discuss,चर्चा करें
finish,समाप्त
design,डिजाईन
concern,चिंता
ball,गेंद
east,पूर्व
recognize,पहचानना
apply,लागू
prepare,तैयार
network,नेटवर्क
huge,विशाल
success,सफलता
district,जिला Seoni
cup,कप
name,नाम
physical,शारीरिक
growth,वृद्धि
rise,वृद्धि
hi,नमस्ते
standard,मानक
force,ताकत
sign,संकेत
fan,प्रशंसक
theory,लिखित
staff,कर्मचारी
hurt,आहत
legal,कानूनी
september,सितंबर
set,समूह
outside,बाहर
et,एट
strategy,रणनीति
clearly,स्पष्ट रूप से
property,संपत्ति
lay,धूल में मिलना
final,अंतिम
authority,प्राधिकरण
perfect,उत्तम
method,तरीका
region,क्षेत्र
since,जबसे
impact,प्रभाव
indicate,संकेत देना
safe,सुरक्षित
committee,समिति
supposed,कल्पित
dream,सपना
training,प्रशिक्षण
shit,मल
central,केंद्रीय
option,विकल्प
eight,आठ
particularly,विशेषतया
completely,पूरी तरह
opinion,राय
main,मुख्य
ten,दस
interview,साक्षात्कार
exist,मौजूद
remove,हटाना
dark,अँधेरा
play,प्ले Play
union,संघ
professor,प्रोफ़ेसर
pressure,दबाव
purpose,उद्देश्य
stage,मंच
blue,नीला
herself,स्वयं
sun,रवि
pain,दर्द
artist,कलाकार
employee,कर्मचारी
avoid,बचना
account,खाता
release,रिहाई
fund,निधि
environment,वातावरण
treat,व्यवहार करना
specific,विशिष्ट
version,संस्करण
shot,गोली मारना
hate,नफ़रत करना
reality,यथार्थ बात
visit,मुलाकात
club,क्लब
justice,न्याय
river,नदी
brain,दिमाग
memory,स्मृति
rock,चट्टान
talk,बात करना
camera,कैमरा
global,वैश्विक
various,विभिन्न
arrive,पहुँचना
notice,सूचना
bit,काटा
detail,विवरण
challenge,चुनौती
argument,बहस
lot,बहुत
nobody,कोई नहीं
weapon,हथियार
best,श्रेष्ठ
station,स्टेशन
island,द्वीप
absolutely,बिल्कुल
instead,बजाय
discussion,बहस
instead,बजाय
affect,प्रभावित करना
design,डिजाईन
little,थोड़ा
anyway,वैसे भी
respond,जवाब देना
control,नियंत्रण
trouble,मुसीबत
conversation,बातचीत
manage,प्रबंधित करना
close,बंद करना
date,दिनांक
public,जनता
army,सेना
top,ऊपर
post,पद
charge,शुल्क
seat,सीट
the,
be,होना
